task,selected_model,rank,feature,importance
15m_speed,lightgbm_main,1,num__weather_wind_speed_mps,5159.0
15m_speed,lightgbm_main,2,num__weather_humidity_pct,5134.0
15m_speed,lightgbm_main,3,num__weather_pressure_hpa,4945.0
15m_speed,lightgbm_main,4,num__speed_roll_std_4,4524.0
15m_speed,lightgbm_main,5,num__jam_lag_8,4379.0
15m_speed,lightgbm_main,6,num__weather_temperature_c,4023.0
15m_speed,lightgbm_main,7,num__jam_lag_2,3952.0
15m_speed,lightgbm_main,8,num__jam_lag_12,3951.0
15m_speed,lightgbm_main,9,num__free_flow_speed_kph,3951.0
15m_speed,lightgbm_main,10,num__jam_lag_4,3879.0
15m_speed,lightgbm_main,11,num__rain_roll_sum_12,3803.0
15m_speed,lightgbm_main,12,num__speed_roll_std_12,3763.0
15m_speed,lightgbm_main,13,num__jam_lag_1,3747.0
15m_speed,lightgbm_main,14,num__speed_lag_12,3598.0
15m_speed,lightgbm_main,15,num__jam_roll_mean_4,3401.0
15m_speed,lightgbm_main,16,num__speed_lag_8,3399.0
15m_speed,lightgbm_main,17,num__jam_roll_mean_12,3331.0
15m_speed,lightgbm_main,18,num__speed_lag_1,3326.0
15m_speed,lightgbm_main,19,num__speed_lag_2,3225.0
15m_speed,lightgbm_main,20,num__current_speed_kph,3139.0
15m_speed,lightgbm_main,21,num__speed_lag_4,3068.0
15m_speed,lightgbm_main,22,num__jam_factor,2739.0
15m_speed,lightgbm_main,23,num__speed_roll_mean_12,2592.0
15m_speed,lightgbm_main,24,num__speed_ratio,2579.0
15m_speed,lightgbm_main,25,num__speed_roll_mean_4,2456.0
15m_speed,lightgbm_main,26,num__rain_roll_sum_4,2094.0
15m_speed,lightgbm_main,27,num__local_minute,1807.0
15m_speed,lightgbm_main,28,num__local_hour,1802.0
15m_speed,lightgbm_main,29,num__hour_cos,1377.0
15m_speed,lightgbm_main,30,num__local_dow,1261.0
15m_speed,lightgbm_main,31,num__congestion_ratio,1214.0
15m_speed,lightgbm_main,32,num__peak_intensity_score,1187.0
15m_speed,lightgbm_main,33,num__hour_sin,1155.0
15m_speed,lightgbm_main,34,num__dow_sin,961.0
15m_speed,lightgbm_main,35,num__rain_lag_4,832.0
15m_speed,lightgbm_main,36,num__weather_rain_1h_mm,743.0
15m_speed,lightgbm_main,37,num__rain_lag_1,734.0
15m_speed,lightgbm_main,38,num__dow_cos,561.0
15m_speed,lightgbm_main,39,num__weather_visibility_m,472.0
15m_speed,lightgbm_main,40,cat__weather_main_Clear,363.0
15m_speed,lightgbm_main,41,num__event_expected_delay_min,332.0
15m_speed,lightgbm_main,42,num__is_payday_window,320.0
15m_speed,lightgbm_main,43,cat__weather_main_Clouds,299.0
15m_speed,lightgbm_main,44,cat__city_key_ha_noi,255.0
15m_speed,lightgbm_main,45,cat__segment_id_HN_002,246.0
15m_speed,lightgbm_main,46,num__is_school_day,233.0
15m_speed,lightgbm_main,47,num__near_mall,189.0
15m_speed,lightgbm_main,48,num__lane_count_est,173.0
15m_speed,lightgbm_main,49,num__near_university,158.0
15m_speed,lightgbm_main,50,num__is_peak_hour,153.0
60m_speed,lightgbm_main,1,num__weather_wind_speed_mps,5069.0
60m_speed,lightgbm_main,2,num__weather_humidity_pct,4998.0
60m_speed,lightgbm_main,3,num__weather_pressure_hpa,4843.0
60m_speed,lightgbm_main,4,num__speed_roll_std_4,4765.0
60m_speed,lightgbm_main,5,num__jam_lag_8,4210.0
60m_speed,lightgbm_main,6,num__speed_roll_std_12,4054.0
60m_speed,lightgbm_main,7,num__jam_lag_12,3961.0
60m_speed,lightgbm_main,8,num__jam_lag_4,3925.0
60m_speed,lightgbm_main,9,num__free_flow_speed_kph,3898.0
60m_speed,lightgbm_main,10,num__jam_lag_1,3847.0
60m_speed,lightgbm_main,11,num__jam_roll_mean_12,3834.0
60m_speed,lightgbm_main,12,num__jam_lag_2,3816.0
60m_speed,lightgbm_main,13,num__rain_roll_sum_12,3798.0
60m_speed,lightgbm_main,14,num__weather_temperature_c,3734.0
60m_speed,lightgbm_main,15,num__speed_lag_12,3456.0
60m_speed,lightgbm_main,16,num__jam_roll_mean_4,3231.0
60m_speed,lightgbm_main,17,num__speed_lag_1,3193.0
60m_speed,lightgbm_main,18,num__current_speed_kph,3128.0
60m_speed,lightgbm_main,19,num__speed_lag_8,3123.0
60m_speed,lightgbm_main,20,num__speed_lag_2,3058.0
60m_speed,lightgbm_main,21,num__speed_lag_4,2971.0
60m_speed,lightgbm_main,22,num__jam_factor,2792.0
60m_speed,lightgbm_main,23,num__speed_roll_mean_12,2549.0
60m_speed,lightgbm_main,24,num__speed_ratio,2517.0
60m_speed,lightgbm_main,25,num__local_hour,2434.0
60m_speed,lightgbm_main,26,num__speed_roll_mean_4,2298.0
60m_speed,lightgbm_main,27,num__rain_roll_sum_4,2051.0
60m_speed,lightgbm_main,28,num__local_minute,1785.0
60m_speed,lightgbm_main,29,num__hour_cos,1598.0
60m_speed,lightgbm_main,30,num__local_dow,1343.0
60m_speed,lightgbm_main,31,num__hour_sin,1228.0
60m_speed,lightgbm_main,32,num__congestion_ratio,1188.0
60m_speed,lightgbm_main,33,num__dow_sin,930.0
60m_speed,lightgbm_main,34,num__weather_rain_1h_mm,929.0
60m_speed,lightgbm_main,35,num__peak_intensity_score,897.0
60m_speed,lightgbm_main,36,num__rain_lag_1,758.0
60m_speed,lightgbm_main,37,num__rain_lag_4,655.0
60m_speed,lightgbm_main,38,num__dow_cos,546.0
60m_speed,lightgbm_main,39,num__weather_visibility_m,512.0
60m_speed,lightgbm_main,40,num__event_expected_delay_min,395.0
60m_speed,lightgbm_main,41,num__is_school_day,394.0
60m_speed,lightgbm_main,42,cat__weather_main_Clear,387.0
60m_speed,lightgbm_main,43,num__is_payday_window,386.0
60m_speed,lightgbm_main,44,cat__weather_main_Clouds,375.0
60m_speed,lightgbm_main,45,cat__city_key_ha_noi,236.0
60m_speed,lightgbm_main,46,num__near_mall,232.0
60m_speed,lightgbm_main,47,cat__segment_id_HN_002,217.0
60m_speed,lightgbm_main,48,num__lane_count_est,187.0
60m_speed,lightgbm_main,49,num__near_university,168.0
60m_speed,lightgbm_main,50,cat__corridor_type_radial_corridor,154.0
