task,horizon,feature,missing_count,missing_ratio
15m_speed,15m,city_key,0,0.0
15m_speed,15m,segment_id,0,0.0
15m_speed,15m,local_hour,0,0.0
15m_speed,15m,local_minute,0,0.0
15m_speed,15m,local_dow,0,0.0
15m_speed,15m,is_weekend,0,0.0
15m_speed,15m,is_vn_public_holiday,0,0.0
15m_speed,15m,is_school_day,0,0.0
15m_speed,15m,is_payday_window,0,0.0
15m_speed,15m,is_peak_hour,0,0.0
15m_speed,15m,peak_period,0,0.0
15m_speed,15m,peak_intensity_score,0,0.0
15m_speed,15m,road_class,0,0.0
15m_speed,15m,corridor_type,0,0.0
15m_speed,15m,lane_count_est,0,0.0
15m_speed,15m,near_school,0,0.0
15m_speed,15m,near_university,0,0.0
15m_speed,15m,near_hospital,0,0.0
15m_speed,15m,near_mall,0,0.0
15m_speed,15m,near_stadium,0,0.0
15m_speed,15m,near_airport,0,0.0
15m_speed,15m,free_flow_speed_kph,0,0.0
15m_speed,15m,current_speed_kph,0,0.0
15m_speed,15m,speed_ratio,0,0.0
15m_speed,15m,congestion_ratio,0,0.0
15m_speed,15m,jam_factor,0,0.0
15m_speed,15m,weather_temperature_c,0,0.0
15m_speed,15m,weather_humidity_pct,0,0.0
15m_speed,15m,weather_pressure_hpa,0,0.0
15m_speed,15m,weather_wind_speed_mps,0,0.0
15m_speed,15m,weather_rain_1h_mm,0,0.0
15m_speed,15m,rain_intensity_level,0,0.0
15m_speed,15m,weather_visibility_m,0,0.0
15m_speed,15m,weather_main,0,0.0
15m_speed,15m,weather_risk_score,0,0.0
15m_speed,15m,rain_flag,0,0.0
15m_speed,15m,heavy_rain_flag,0,0.0
15m_speed,15m,eventctx_has_event_signal_v1,0,0.0
15m_speed,15m,event_type,0,0.0
15m_speed,15m,event_severity_score,0,0.0
15m_speed,15m,event_expected_delay_min,0,0.0
15m_speed,15m,holiday_travel_pressure_score,0,0.0
15m_speed,15m,hour_sin,0,0.0
15m_speed,15m,hour_cos,0,0.0
15m_speed,15m,dow_sin,0,0.0
15m_speed,15m,dow_cos,0,0.0
15m_speed,15m,speed_lag_1,0,0.0
15m_speed,15m,speed_lag_2,0,0.0
15m_speed,15m,speed_lag_4,0,0.0
15m_speed,15m,speed_lag_8,0,0.0
15m_speed,15m,speed_lag_12,0,0.0
15m_speed,15m,jam_lag_1,0,0.0
15m_speed,15m,jam_lag_2,0,0.0
15m_speed,15m,jam_lag_4,0,0.0
15m_speed,15m,jam_lag_8,0,0.0
15m_speed,15m,jam_lag_12,0,0.0
15m_speed,15m,rain_lag_1,0,0.0
15m_speed,15m,rain_lag_4,0,0.0
15m_speed,15m,speed_roll_mean_4,0,0.0
15m_speed,15m,speed_roll_std_4,0,0.0
15m_speed,15m,speed_roll_mean_12,0,0.0
15m_speed,15m,speed_roll_std_12,0,0.0
15m_speed,15m,jam_roll_mean_4,0,0.0
15m_speed,15m,jam_roll_mean_12,0,0.0
15m_speed,15m,rain_roll_sum_4,0,0.0
15m_speed,15m,rain_roll_sum_12,0,0.0
15m_speed,15m,row_has_complete_lag_features,0,0.0
60m_speed,60m,city_key,0,0.0
60m_speed,60m,segment_id,0,0.0
60m_speed,60m,local_hour,0,0.0
60m_speed,60m,local_minute,0,0.0
60m_speed,60m,local_dow,0,0.0
60m_speed,60m,is_weekend,0,0.0
60m_speed,60m,is_vn_public_holiday,0,0.0
60m_speed,60m,is_school_day,0,0.0
60m_speed,60m,is_payday_window,0,0.0
60m_speed,60m,is_peak_hour,0,0.0
60m_speed,60m,peak_period,0,0.0
60m_speed,60m,peak_intensity_score,0,0.0
60m_speed,60m,road_class,0,0.0
60m_speed,60m,corridor_type,0,0.0
60m_speed,60m,lane_count_est,0,0.0
60m_speed,60m,near_school,0,0.0
60m_speed,60m,near_university,0,0.0
60m_speed,60m,near_hospital,0,0.0
60m_speed,60m,near_mall,0,0.0
60m_speed,60m,near_stadium,0,0.0
60m_speed,60m,near_airport,0,0.0
60m_speed,60m,free_flow_speed_kph,0,0.0
60m_speed,60m,current_speed_kph,0,0.0
60m_speed,60m,speed_ratio,0,0.0
60m_speed,60m,congestion_ratio,0,0.0
60m_speed,60m,jam_factor,0,0.0
60m_speed,60m,weather_temperature_c,0,0.0
60m_speed,60m,weather_humidity_pct,0,0.0
60m_speed,60m,weather_pressure_hpa,0,0.0
60m_speed,60m,weather_wind_speed_mps,0,0.0
60m_speed,60m,weather_rain_1h_mm,0,0.0
60m_speed,60m,rain_intensity_level,0,0.0
60m_speed,60m,weather_visibility_m,0,0.0
60m_speed,60m,weather_main,0,0.0
60m_speed,60m,weather_risk_score,0,0.0
60m_speed,60m,rain_flag,0,0.0
60m_speed,60m,heavy_rain_flag,0,0.0
60m_speed,60m,eventctx_has_event_signal_v1,0,0.0
60m_speed,60m,event_type,0,0.0
60m_speed,60m,event_severity_score,0,0.0
60m_speed,60m,event_expected_delay_min,0,0.0
60m_speed,60m,holiday_travel_pressure_score,0,0.0
60m_speed,60m,hour_sin,0,0.0
60m_speed,60m,hour_cos,0,0.0
60m_speed,60m,dow_sin,0,0.0
60m_speed,60m,dow_cos,0,0.0
60m_speed,60m,speed_lag_1,0,0.0
60m_speed,60m,speed_lag_2,0,0.0
60m_speed,60m,speed_lag_4,0,0.0
60m_speed,60m,speed_lag_8,0,0.0
60m_speed,60m,speed_lag_12,0,0.0
60m_speed,60m,jam_lag_1,0,0.0
60m_speed,60m,jam_lag_2,0,0.0
60m_speed,60m,jam_lag_4,0,0.0
60m_speed,60m,jam_lag_8,0,0.0
60m_speed,60m,jam_lag_12,0,0.0
60m_speed,60m,rain_lag_1,0,0.0
60m_speed,60m,rain_lag_4,0,0.0
60m_speed,60m,speed_roll_mean_4,0,0.0
60m_speed,60m,speed_roll_std_4,0,0.0
60m_speed,60m,speed_roll_mean_12,0,0.0
60m_speed,60m,speed_roll_std_12,0,0.0
60m_speed,60m,jam_roll_mean_4,0,0.0
60m_speed,60m,jam_roll_mean_12,0,0.0
60m_speed,60m,rain_roll_sum_4,0,0.0
60m_speed,60m,rain_roll_sum_12,0,0.0
60m_speed,60m,row_has_complete_lag_features,0,0.0
