city_key,segment_id,road_class,corridor_type,task,n,MAE,RMSE,R2,MAPE_safe_pct,mean_true_speed,mean_pred_speed
tp_hcm,HCM_010,highway_connector,eastern_gateway,15m_speed,431,6.907601545959957,9.237176308838519,0.7535091979175512,17.01815370388857,56.25034802784223,56.51876321949171
tp_hcm,HCM_002,highway_connector,canal_expressway,15m_speed,431,6.480249863849011,8.708399878788784,0.7172782848118957,21.569020572285286,47.226914153132256,47.670253960710575
ha_noi,HN_010,airport_highway,airport_access,15m_speed,431,6.456674181793819,8.426517889716024,0.7836863114961637,13.927241681574987,59.677494199535964,60.425117084920366
tp_hcm,HCM_005,ring_road,ring_road,15m_speed,431,6.198047478091586,8.390517662766003,0.7752463837136858,14.354673845566973,55.50626450116009,55.893768297765625
tp_hcm,HCM_008,highway_connector,gateway_connector,15m_speed,431,6.113684258958513,8.225919229626204,0.7743634157128083,16.228450973108426,51.40672853828306,51.921775763078465
ha_noi,HN_004,ring_road,ring_road,15m_speed,431,5.7708568476872015,7.545479055071772,0.8208831080824154,15.769313931532878,53.88027842227378,54.17066145580439
ha_noi,HN_005,highway_connector,airport_gateway,15m_speed,431,5.370779834728456,7.091203976101321,0.7876258700262482,13.54398375148545,50.85359628770301,51.02237613335596
tp_hcm,HCM_003,airport_highway,airport_access,15m_speed,431,5.133721053658563,6.962196108915678,0.7782118138528984,16.597182515224564,41.519721577726216,41.856582891758556
tp_hcm,HCM_004,bridge_corridor,riverside_connector,15m_speed,431,4.8445207511845005,6.357700781656261,0.7675862434959597,14.848180041538003,41.32598607888631,40.99240696798609
ha_noi,HN_007,bridge_corridor,cross_river_bridge,15m_speed,431,4.320490322720946,5.6073699238142884,0.7794775357275174,14.470993576080179,38.137122969837584,38.427220483599996
tp_hcm,HCM_001,urban_arterial,radial_corridor,15m_speed,431,3.85226813963786,5.111702225509801,0.7678584601392975,18.822576306766443,29.483758700696054,29.875114959502213
ha_noi,HN_002,urban_arterial,radial_corridor,15m_speed,431,3.7152009804379973,4.872254588906913,0.8355194224075879,15.198834440041844,35.753132250580045,36.0171253949697
tp_hcm,HCM_006,commercial_street,port_access,15m_speed,431,3.3755113817837405,4.511965081504096,0.7681006807500742,18.1322809575336,25.553596287703012,25.941298472481577
ha_noi,HN_001,urban_arterial,radial_corridor,15m_speed,431,3.357780159089209,4.292790330120436,0.8440384263358152,17.65904610519114,29.505800464037122,29.712090809828368
tp_hcm,HCM_009,urban_arterial,radial_corridor,15m_speed,431,3.3252111270792764,4.289141114806589,0.7801963844115263,15.158463007832838,29.171925754060325,29.13656454742866
ha_noi,HN_003,urban_arterial,university_corridor,15m_speed,431,3.1317573995304793,4.119990876121011,0.8464282078336945,16.155532417437872,28.602552204176337,28.78405970375866
ha_noi,HN_008,urban_arterial,cbd_connector,15m_speed,431,2.9882141298944083,3.8769288258518713,0.836429260584479,15.530043474517468,27.183526682134566,27.449298674809018
ha_noi,HN_009,urban_arterial,residential_commute,15m_speed,431,2.931374992290492,3.788250841275545,0.8400918928395797,16.398417318852502,25.93364269141531,26.146192459617485
tp_hcm,HCM_007,commercial_street,commercial_zone,15m_speed,431,2.557660804836491,3.372942360327926,0.7728587392926499,16.101156302675474,20.443155452436194,20.265271642267823
ha_noi,HN_006,narrow_old_quarter,cbd_commercial,15m_speed,431,2.0803791357953396,2.7465888644457386,0.7401807691536066,15.530283245124343,16.649883990719257,16.81345096112425
tp_hcm,HCM_010,highway_connector,eastern_gateway,60m_speed,428,7.247997656972355,9.39741572757984,0.7464310353852328,18.353384294603572,56.209813084112156,56.56945554319347
tp_hcm,HCM_002,highway_connector,canal_expressway,60m_speed,428,6.453628512853735,8.731923072417688,0.7170017130927904,21.68227160214345,47.171261682243,47.79937901474513
ha_noi,HN_010,airport_highway,airport_access,60m_speed,428,6.370599906255242,8.298082258039805,0.7916778239519455,13.9854816298185,59.677803738317756,60.56201617015106
tp_hcm,HCM_005,ring_road,ring_road,60m_speed,428,6.246131720481272,8.55996065778389,0.7674928873108167,15.32195176621023,55.50163551401869,56.18502263773628
tp_hcm,HCM_008,highway_connector,gateway_connector,60m_speed,428,6.102307263723443,8.185923155271785,0.777845110332475,16.386805911385707,51.39182242990653,52.2729703097064
ha_noi,HN_004,ring_road,ring_road,60m_speed,428,5.839735903657382,7.549273882975544,0.8216236617816826,16.162563795417935,53.81869158878504,54.308358480467014
ha_noi,HN_005,highway_connector,airport_gateway,60m_speed,428,5.359181453910733,6.986485786024793,0.7949261998818674,13.57621592836347,50.807476635514014,51.271381597307496
tp_hcm,HCM_003,airport_highway,airport_access,60m_speed,428,5.213740815888252,6.885439328773751,0.7845722967802882,17.464369703103692,41.51682242990655,41.88517121982766
tp_hcm,HCM_004,bridge_corridor,riverside_connector,60m_speed,428,4.767163080219714,6.167873550628654,0.7823039938292465,14.686082833015387,41.287616822429904,40.9839034908219
ha_noi,HN_007,bridge_corridor,cross_river_bridge,60m_speed,428,4.320340681274761,5.497662229487897,0.7891226421483427,14.603428330715145,38.09626168224299,38.69532921711909
tp_hcm,HCM_001,urban_arterial,radial_corridor,60m_speed,428,3.8762700302642203,5.20277652837256,0.7608300707955634,20.609506765200535,29.454906542056076,29.99668921189983
ha_noi,HN_002,urban_arterial,radial_corridor,60m_speed,428,3.8114615434590475,4.846080917690146,0.8382129469040829,15.453510187949382,35.7196261682243,36.054117879223625
tp_hcm,HCM_006,commercial_street,port_access,60m_speed,428,3.474930757029099,4.5922641686939265,0.7612810886666693,20.159252850208258,25.54275700934579,26.019194573275396
ha_noi,HN_001,urban_arterial,radial_corridor,60m_speed,428,3.4390569024893236,4.37663881670348,0.8389081022259086,18.612963098111216,29.50467289719626,29.660610251674804
tp_hcm,HCM_009,urban_arterial,radial_corridor,60m_speed,428,3.358365237960329,4.315048434006906,0.7788891340580713,15.06202061196661,29.1607476635514,29.01091238932388
ha_noi,HN_003,urban_arterial,university_corridor,60m_speed,428,3.1813090249379683,4.157314935191377,0.8439940600307966,17.36966686915537,28.550467289719627,29.02196765608742
ha_noi,HN_009,urban_arterial,residential_commute,60m_speed,428,3.0462783488326735,3.8911663627599484,0.8323737485889927,17.75975605876028,25.936682242990653,26.141227068892203
ha_noi,HN_008,urban_arterial,cbd_connector,60m_speed,428,3.0270253049252838,3.8736134102918305,0.8377761712746189,16.318635504535134,27.16822429906542,27.45055907414769
tp_hcm,HCM_007,commercial_street,commercial_zone,60m_speed,428,2.581870005872713,3.3952212961054946,0.7712671833965552,16.936421482849052,20.432943925233648,20.37341126208752
ha_noi,HN_006,narrow_old_quarter,cbd_commercial,60m_speed,428,2.1184945687014665,2.8282604203504014,0.7251169190324329,16.96076085525108,16.618925233644863,16.983869480892977
